pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
TOI-5726.01,2.554,7.05,1093.03,0.062186,338.95,5874.0,1.106,1.06,,2.33
HD 154391 b,12.5,2892.2385037,,7.46,,4909.0,8.56,2.07,0.1,8.14
TOI-4438 b,2.52,5.4,435.0,0.0534,6.0,3422.0,0.372,0.368,-0.19,1.85
Wolf 327 b,1.24,2.53,996.0,0.01,233.9,3542.0,0.406,0.405,-0.17,7.24
HD 12661 b,13.3,772.3269,,0.84,,5645.0,1.2,1.2,0.36,1.8
K2-38 c,2.29,8.3,916.0,0.09514,117.0,5731.0,1.06,1.03,0.26,3.8
Kepler-1982 b,0.77,0.381,1282.0,0.0511,638.38,6202.0,1.122,1.213,0.21,4.59
Kepler-347 b,1.97,4.54,908.0,0.11,180.549,6088.0,1.005,0.922,-0.14,3.26
HD 99492 c,4.42,17.9,,,,4929.0,0.822539,0.85,0.3,1.14
TOI-4559 b,1.415,2.59,554.16,0.0359,15.77,3558.0,0.374,0.392,-0.09,5.02
Kepler-21 b,1.639,7.5,2015.0,0.0434,2749.0,6305.0,1.902,1.408,-0.03,9.3
HD 161178 b,14.1,181.16219199,,0.85,,4786.0,10.95,1.06,-0.21,0.355
K2-371 b,13.024,,956.83,,198.0922,4925.0,0.736,0.958,-0.107,
TOI-4495 c,4.03,23.2,1365.0,0.06323,346.626,6210.0,1.309,1.247,0.18,1.9
GJ 9066 c,9.6,66.74396547,,0.88,,3154.0,0.164,0.15,-0.13,0.415
TOI-2094 b,1.9,4.27,276.0,0.136,0.98,3435.0,0.384,0.425,-0.06,3.42
Kepler-1859 b,1.58313575,3.13,1455.0,0.0394,1056.15,5887.0,1.235,1.09,0.16,4.33
K2-384 e,1.345,2.37,,,,3623.0,0.348,0.33,0.068,5.35
Kepler-1972 b,0.802,2.02,1084.0,0.08006,341.3,5818.0,1.384,1.12,0.23,22.2
HD 191939 d,2.995,2.8,540.0,0.2132,14.3,5348.0,0.94,0.81,-0.15,0.57
EPIC 206317286 c,2.094,5.03,,,,4752.0,0.758,0.832,0.019,3.01
GJ 887 e,1.12,1.46,544.0,0.0417,20.9,3688.0,0.468,0.495,-0.06,5.71
TOI-199 b,9.07927437,54.03082919,476.27,0.4254,8.5419,5255.0,0.82,0.936,0.22,0.397
K2-185 c,2.39,6.3,477.0,,,5788.0,0.94,0.96,-0.1,2.54
TOI-700 c,2.6,7.27,356.0,0.0929,2.64,3459.0,0.421,0.415,-0.07,2.27
TOI-6478 b,4.6,19.2,204.4,0.1136,0.0003,3230.0,0.234,0.23,-0.53,1.08
WASP-44 b,12.3299,276.5121,1337.0,0.03453,533.0,5420.0,0.906,0.935,-0.003,0.811
gam Lib c,12.8,1662.56039702,,2.318,,4879.0,12.38,1.78,-0.27,4.36
TOI-1246 b,3.01,8.1,955.0,0.049,196.0,5151.0,0.86,0.87,0.17,1.63
Kepler-68 d,13.9,267.0,,1.469,,5847.0,1.2564,1.057,0.11,0.546
TOI-1181 b,17.02644168,374.71969185,1942.12,0.0364,14140.0,6054.0,1.961,1.467,0.38,0.49
TOI-771 b,1.36,2.47,543.0,0.0208,14.0,3370.0,0.232,0.22,-0.13,5.4
HD 183263 b,13.1,1103.1824007,,1.46,,5948.0,1.23,1.06,0.2776,2.7
K2-136 b,1.014,4.3,610.0,0.0707,33.5,4500.0,0.677,0.742,-0.02,24.0
TOI-1853 b,3.46,73.2,1479.0,0.0213,435.33,4985.0,0.808,0.837,0.11,9.74
